@relation jAudio
@ATTRIBUTE "Spectral Centroid0" NUMERIC
@ATTRIBUTE "Spectral Rolloff Point0" NUMERIC
@ATTRIBUTE "Spectral Flux0" NUMERIC
@ATTRIBUTE "Compactness0" NUMERIC
@ATTRIBUTE "Spectral Variability0" NUMERIC
@ATTRIBUTE "Root Mean Square0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows0" NUMERIC
@ATTRIBUTE "Zero Crossings0" NUMERIC
@ATTRIBUTE "Strongest Beat0" NUMERIC
@ATTRIBUTE "Beat Sum0" NUMERIC
@ATTRIBUTE "Strength Of Strongest Beat0" NUMERIC
@ATTRIBUTE "LPC0" NUMERIC
@ATTRIBUTE "LPC1" NUMERIC
@ATTRIBUTE "LPC2" NUMERIC
@ATTRIBUTE "LPC3" NUMERIC
@ATTRIBUTE "LPC4" NUMERIC
@ATTRIBUTE "LPC5" NUMERIC
@ATTRIBUTE "LPC6" NUMERIC
@ATTRIBUTE "LPC7" NUMERIC
@ATTRIBUTE "LPC8" NUMERIC
@ATTRIBUTE "LPC9" NUMERIC
@ATTRIBUTE "Method of Moments0" NUMERIC
@ATTRIBUTE "Method of Moments1" NUMERIC
@ATTRIBUTE "Method of Moments2" NUMERIC
@ATTRIBUTE "Method of Moments3" NUMERIC
@ATTRIBUTE "Method of Moments4" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs0" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs1" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs2" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs3" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs4" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs5" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs6" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs7" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs8" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs9" NUMERIC
@ATTRIBUTE "FileName" {augusta.wav,test.wav}
@DATA
5.153E2,1.426E-1,4.58E-3,4.733E4,4.219E-4,1.505E-1,?,1.158E3,?,?,?,-9.372E-1,8.837E-1,-3.869E-1,-2.809E-1,-4.106E-2,-7.495E-2,-9.528E-2,1.639E-1,1.5E-1,0E0,1.323E0,1.258E3,2.22E6,7.875E9,4.525E13,-5.857E2,1.003E2,1.52E0,-9.425E3,-1.449E2,8.41E-1,1.832E6,1.522E3,2.306E1,-5.301E0,augusta.wav
3.712E2,6.921E-2,1.456E-3,4.475E4,4.771E-4,9.759E-2,?,8.28E2,?,?,?,-9.84E-1,7.863E-1,1.608E-1,-4.933E-2,-9.043E-3,2.955E-2,1.575E-2,-5.936E-3,-4.486E-2,0E0,1.448E0,9.486E2,1.855E6,7.775E9,4.484E13,-5.88E2,1.05E2,1.313E0,-1.035E4,-1.305E2,-1.666E0,2.108E6,1.532E3,1.916E1,-2.476E1,augusta.wav
3.555E2,6.824E-2,7.641E-4,5.383E4,3.445E-4,8.489E-2,?,8.48E2,?,?,?,-9.685E-1,6.93E-1,-2.764E-1,-2.055E-1,2.152E-1,1.481E-1,8.709E-2,3.351E-2,-4.107E-2,0E0,1.062E0,1.045E3,2.299E6,9.464E9,5.429E13,-5.817E2,1.094E2,1.017E0,-1.127E4,-1.05E2,-4.581E0,2.395E6,1.368E3,1.273E1,-5.196E1,augusta.wav
3.83E2,6.299E-2,5.662E-4,5.413E4,3.645E-4,9.705E-2,?,8.56E2,?,?,?,-9.707E-1,7.208E-1,-2.932E-1,-2.186E-1,1.703E-1,1.425E-1,4.581E-2,5.433E-2,2.455E-2,0E0,1.233E0,1.219E3,2.325E6,8.151E9,4.692E13,-5.787E2,1.137E2,6.992E-1,-1.221E4,-7.428E1,-7.393E0,2.699E6,1.188E3,7.303E0,-8.211E1,augusta.wav
3.541E2,6.335E-2,8.07E-4,4.314E4,4.497E-4,9.907E-2,?,7.56E2,?,?,?,-9.87E-1,7.727E-1,2.465E-1,7.834E-2,3.61E-2,2.583E-2,1.441E-2,3.663E-2,1.378E-2,0E0,1.266E0,9.855E2,2.074E6,8.603E9,4.933E13,-5.834E2,1.179E2,3.434E-1,-1.316E4,-3.691E1,-1.062E1,3.02E6,8.456E2,2.462E0,-1.226E2,augusta.wav
5.761E2,7.068E-2,1.029E-2,2.957E4,1.214E-3,2.933E-1,?,1.129E3,?,?,?,-9.577E-1,6.734E-1,-1.425E-1,1.097E-1,5.229E-2,3.908E-2,5.429E-2,5.33E-2,1.181E-1,0E0,4.372E0,1.716E3,3.277E6,9E9,5.078E13,-5.786E2,1.223E2,8.828E-3,-1.419E4,1.046E0,-1.384E1,3.384E6,5.201E2,3.753E-2,-1.67E2,augusta.wav
5.478E2,7.019E-2,7.278E-3,5.335E4,1.027E-3,3.856E-1,?,1.273E3,?,?,?,-9.517E-1,7.251E-1,-1.658E-1,8.405E-2,5.535E-2,7.803E-2,8.357E-2,1.945E-2,9.135E-2,0E0,3.124E0,1.433E3,2.426E6,7.774E9,4.547E13,-5.785E2,1.269E2,-3.554E-1,-1.529E4,4.537E1,-1.745E1,3.783E6,7.043E1,-1.973E-1,-2.212E2,augusta.wav
5.289E2,8.167E-2,6.979E-3,5.965E4,5.755E-4,2.96E-1,?,1.086E3,?,?,?,-9.416E-1,6.893E-1,-1.405E-1,1.192E-1,-4.318E-2,1.473E-1,9.305E-2,5.094E-2,6.141E-2,0E0,1.722E0,1.12E3,1.941E6,7.351E9,4.112E13,-5.924E2,1.314E2,-6.407E-1,-1.643E4,8.304E1,-2.052E1,4.214E6,-3.013E2,1.469E0,-2.713E2,augusta.wav
5.319E2,6.873E-2,9.754E-3,4.855E4,1.287E-3,2.887E-1,?,1.207E3,?,?,?,-9.624E-1,8.746E-1,-3.519E-1,-7.483E-2,1.234E-1,-1.702E-1,2.077E-2,2.698E-1,2.026E-1,0E0,3.351E0,1.117E3,1.567E6,5.676E9,3.201E13,-5.88E2,1.36E2,-8.529E-1,-1.762E4,1.135E2,-2.314E1,4.681E6,-6.735E2,4.225E0,-3.16E2,augusta.wav
3.719E2,7.129E-2,1.147E-2,5.386E4,6.355E-4,1.806E-1,?,9.23E2,?,?,?,-9.622E-1,8.279E-1,-2.564E-1,-5.55E-2,8.922E-2,-2.652E-1,-3.093E-2,2.917E-1,1.206E-1,0E0,1.72E0,9.365E2,1.715E6,7.046E9,4.027E13,-5.921E2,1.406E2,-1.125E0,-1.886E4,1.537E2,-2.626E1,5.184E6,-1.237E3,9.901E0,-3.717E2,augusta.wav
