@relation jAudio
@ATTRIBUTE "Spectral Centroid0" NUMERIC
@ATTRIBUTE "Spectral Rolloff Point0" NUMERIC
@ATTRIBUTE "Spectral Flux0" NUMERIC
@ATTRIBUTE "Compactness0" NUMERIC
@ATTRIBUTE "Spectral Variability0" NUMERIC
@ATTRIBUTE "Root Mean Square0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows0" NUMERIC
@ATTRIBUTE "Zero Crossings0" NUMERIC
@ATTRIBUTE "Strongest Beat0" NUMERIC
@ATTRIBUTE "Beat Sum0" NUMERIC
@ATTRIBUTE "Strength Of Strongest Beat0" NUMERIC
@ATTRIBUTE "LPC0" NUMERIC
@ATTRIBUTE "LPC1" NUMERIC
@ATTRIBUTE "LPC2" NUMERIC
@ATTRIBUTE "LPC3" NUMERIC
@ATTRIBUTE "LPC4" NUMERIC
@ATTRIBUTE "LPC5" NUMERIC
@ATTRIBUTE "LPC6" NUMERIC
@ATTRIBUTE "LPC7" NUMERIC
@ATTRIBUTE "LPC8" NUMERIC
@ATTRIBUTE "LPC9" NUMERIC
@ATTRIBUTE "Method of Moments0" NUMERIC
@ATTRIBUTE "Method of Moments1" NUMERIC
@ATTRIBUTE "Method of Moments2" NUMERIC
@ATTRIBUTE "Method of Moments3" NUMERIC
@ATTRIBUTE "Method of Moments4" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs0" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs1" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs2" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs3" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs4" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs5" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs6" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs7" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs8" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs9" NUMERIC
@ATTRIBUTE "FileName" {augusta.wav,test.wav}
@DATA
1.066E1,6.25E-2,1.001E-3,1.679E3,2.509E-3,1.062E-1,?,3E1,?,?,?,-9.771E-1,6.96E-1,1.488E-2,-1.475E-1,-1.973E-1,-1.044E-1,-3.892E-3,1.716E-1,1.495E-1,0E0,2.583E-1,3.022E1,1.921E3,2.434E5,4.39E7,-8.426E2,6.07E1,-1.109E0,-3.293E3,6.02E1,7.634E0,3.788E5,-8.642E2,1.579E1,1.878E2,augusta.wav
1.534E1,1.484E-1,3.465E-3,1.751E3,4.688E-3,1.664E-1,?,3.1E1,?,?,?,-9.647E-1,8.189E-1,-3.863E-1,-1.228E-1,4.409E-2,-2.089E-1,-7.978E-4,1.468E-1,2.594E-1,0E0,4.466E-1,3.397E1,1.608E3,1.734E5,3.074E7,-8.535E2,6.513E1,-1.134E0,-3.823E3,6.74E1,8.756E0,4.736E5,-8.422E2,1.467E1,2.086E2,augusta.wav
2.011E1,1.719E-1,3.548E-3,1.466E3,4.795E-3,1.731E-1,?,4.9E1,?,?,?,-9.465E-1,8.085E-1,-2.291E-1,-2.86E-1,-6.829E-2,-6.068E-2,-1.899E-2,2.196E-1,2.937E-1,0E0,5.725E-1,3.617E1,1.545E3,1.693E5,3.013E7,-8.503E2,6.957E1,-1.244E0,-4.394E3,7.997E1,9.009E0,5.835E5,-9.154E2,1.637E1,2.233E2,augusta.wav
2.706E1,1.914E-1,2.564E-3,1.244E3,3.739E-3,1.727E-1,?,6.2E1,?,?,?,-9.266E-1,7.883E-1,-2.381E-1,-2.712E-1,-1.966E-1,-1.371E-1,-3.382E-2,1.18E-1,1.973E-1,0E0,4.927E-1,4.611E1,1.972E3,1.737E5,2.952E7,-8.528E2,7.406E1,-1.384E0,-5.01E3,9.561E1,8.949E0,7.103E5,-1.017E3,1.9E1,2.36E2,augusta.wav
1.876E1,1.641E-1,4.735E-3,1.725E3,6.086E-3,2.45E-1,?,3.8E1,?,?,?,-9.565E-1,8.643E-1,-4.202E-1,-2.984E-1,-3.375E-2,1.113E-1,6.21E-2,2.609E-1,1.436E-1,0E0,5.674E-1,3.507E1,1.507E3,1.649E5,2.908E7,-8.664E2,7.856E1,-1.49E0,-5.669E3,1.099E2,9.069E0,8.548E5,-1.124E3,2.132E1,2.495E2,augusta.wav
1.794E1,1.445E-1,2.457E-3,1.644E3,5.817E-3,2.168E-1,?,2.9E1,?,?,?,-9.637E-1,8.866E-1,-4.018E-1,-1.926E-1,-5.445E-2,-3.589E-2,8.956E-3,1.916E-1,1.763E-1,0E0,5.183E-1,3.166E1,1.306E3,1.488E5,2.613E7,-8.693E2,8.311E1,-1.606E0,-6.375E3,1.262E2,8.866E0,1.019E6,-1.211E3,2.339E1,2.584E2,augusta.wav
1.155E1,5.078E-2,5.352E-3,1.522E3,2.832E-3,1.242E-1,?,3E1,?,?,?,-9.767E-1,8.381E-1,-3.829E-2,-2.362E-1,-1.98E-1,-5.146E-3,-4.676E-3,1.629E-2,1.158E-1,0E0,2.624E-1,2.952E1,1.829E3,2.362E5,4.225E7,-8.772E2,8.757E1,-1.76E0,-7.108E3,1.46E2,8.208E0,1.2E6,-1.429E3,2.873E1,2.632E2,augusta.wav
1.188E1,7.422E-2,4.185E-4,1.553E3,2.431E-3,1.11E-1,?,2.3E1,?,?,?,-9.842E-1,6.333E-1,2.83E-1,3.648E-2,1.783E-2,-2.894E-2,-1.077E-1,-6.514E-2,7.16E-2,0E0,2.477E-1,3.075E1,2.01E3,2.664E5,4.815E7,-8.907E2,9.202E1,-1.89E0,-7.879E3,1.65E2,7.72E0,1.4E6,-1.633E3,3.354E1,2.688E2,augusta.wav
1.2E1,6.641E-2,2.054E-4,1.522E3,1.958E-3,1.12E-1,?,2.4E1,?,?,?,-9.836E-1,6.676E-1,1.874E-1,1.791E-2,9.787E-2,2.793E-2,-3.981E-2,5.569E-2,-4.213E-2,0E0,1.981E-1,3.235E1,2.225E3,2.891E5,5.21E7,-9.012E2,9.637E1,-2.054E0,-8.671E3,1.88E2,6.658E0,1.616E6,-1.915E3,4.081E1,2.679E2,augusta.wav
1.197E1,5.078E-2,2.012E-3,1.563E3,4.148E-3,1.568E-1,?,2.8E1,?,?,?,-9.821E-1,7.622E-1,-7.882E-2,-6.685E-3,3.18E-1,1.746E-1,2.784E-2,-1.579E-1,-5.621E-2,0E0,3.512E-1,2.781E1,1.673E3,2.168E5,3.944E7,-9.066E2,1.007E2,-2.139E0,-9.502E3,2.048E2,6.327E0,1.854E6,-2.153E3,4.573E1,2.714E2,augusta.wav
