@relation jAudio
@ATTRIBUTE "Spectral Centroid0" NUMERIC
@ATTRIBUTE "Spectral Rolloff Point0" NUMERIC
@ATTRIBUTE "Spectral Flux0" NUMERIC
@ATTRIBUTE "Compactness0" NUMERIC
@ATTRIBUTE "Spectral Variability0" NUMERIC
@ATTRIBUTE "Root Mean Square0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows0" NUMERIC
@ATTRIBUTE "Zero Crossings0" NUMERIC
@ATTRIBUTE "Strongest Beat0" NUMERIC
@ATTRIBUTE "Beat Sum0" NUMERIC
@ATTRIBUTE "Strength Of Strongest Beat0" NUMERIC
@ATTRIBUTE "LPC0" NUMERIC
@ATTRIBUTE "LPC1" NUMERIC
@ATTRIBUTE "LPC2" NUMERIC
@ATTRIBUTE "LPC3" NUMERIC
@ATTRIBUTE "LPC4" NUMERIC
@ATTRIBUTE "LPC5" NUMERIC
@ATTRIBUTE "LPC6" NUMERIC
@ATTRIBUTE "LPC7" NUMERIC
@ATTRIBUTE "LPC8" NUMERIC
@ATTRIBUTE "LPC9" NUMERIC
@ATTRIBUTE "Method of Moments0" NUMERIC
@ATTRIBUTE "Method of Moments1" NUMERIC
@ATTRIBUTE "Method of Moments2" NUMERIC
@ATTRIBUTE "Method of Moments3" NUMERIC
@ATTRIBUTE "Method of Moments4" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs0" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs1" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs2" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs3" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs4" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs5" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs6" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs7" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs8" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs9" NUMERIC
@ATTRIBUTE "FileName" {augusta.wav,test.wav}
@DATA
6.423E2,9.912E-2,2.963E-2,5.365E4,1.79E-3,3.431E-1,?,1.398E3,?,?,?,-9.564E-1,8.685E-1,-3.945E-1,7.526E-3,2.492E-1,-1.371E-1,-1.105E-2,1.476E-1,1.632E-1,0E0,4.12E0,1.245E3,1.616E6,5.655E9,3.166E13,-7.185E2,9.379E1,1.618E0,-8.207E3,-1.469E2,9.669E0,1.488E6,9.228E2,1.592E1,6.315E1,augusta.wav
6.824E2,1.779E-1,2.961E-2,4.766E4,9.097E-4,2.347E-1,?,1.584E3,?,?,?,-9.433E-1,7.794E-1,-4.133E-1,-1.061E-1,3.278E-1,-2.67E-1,-7.16E-2,2.088E-1,1.931E-1,0E0,2.756E0,1.549E3,2.294E6,7.057E9,4.232E13,-6.742E2,9.867E1,1.552E0,-9.116E3,-1.481E2,8.012E0,1.742E6,1.005E3,1.581E1,5.322E1,augusta.wav
8.893E2,1.575E-1,3.049E-2,2.047E4,1.888E-3,3.139E-1,?,1.477E3,?,?,?,-9.321E-1,8.096E-1,-2.064E-1,8.955E-2,1.185E-1,-2.562E-2,-3.332E-2,-2.386E-2,9.208E-2,0E0,6.777E0,1.593E3,2.355E6,7.217E9,3.892E13,-6.599E2,1.039E2,1.382E0,-1.013E4,-1.388E2,5.526E0,2.042E6,9.769E2,1.3E1,3.741E1,augusta.wav
5.209E2,1.174E-1,2.923E-2,4.907E4,4.078E-4,9.766E-2,?,1.201E3,?,?,?,-9.594E-1,7.949E-1,-3.024E-1,-2.594E-1,1.056E-1,1.011E-1,1.568E-3,-3.157E-3,1.468E-3,0E0,1.579E0,1.194E3,1.941E6,7.011E9,4.028E13,-6.26E2,1.089E2,1.223E0,-1.116E4,-1.288E2,2.853E0,2.361E6,9.438E2,1.06E1,1.776E1,augusta.wav
7.217E2,1.582E-1,9.479E-3,4.378E4,1.195E-3,2.235E-1,?,1.475E3,?,?,?,-9.478E-1,8.913E-1,-3.947E-1,-2.026E-1,4.694E-2,-6.016E-2,-4.861E-2,1.763E-1,1.406E-1,0E0,4.011E0,1.178E3,1.505E6,5.473E9,3.055E13,-5.817E2,1.137E2,1.069E0,-1.221E4,-1.175E2,-4.072E-1,2.699E6,9.337E2,8.78E0,-9.924E0,augusta.wav
3.18E2,6.042E-2,1.091E-2,5.428E4,3.182E-4,1.033E-1,?,9.09E2,?,?,?,-9.681E-1,8.096E-1,-1.581E-1,-2.124E-1,4.45E-2,-1.994E-2,-5.553E-2,-2.324E-2,6.411E-2,0E0,9.729E-1,1.126E3,2.44E6,9.493E9,5.447E13,-5.902E2,1.185E2,8.282E-1,-1.328E4,-9.468E1,-3.613E0,3.064E6,8.159E2,5.703E0,-4.01E1,augusta.wav
3.605E2,6.848E-2,9.201E-4,4.823E4,4.792E-4,9.763E-2,?,8.33E2,?,?,?,-9.84E-1,7.909E-1,1.558E-1,-5.294E-2,-1.203E-2,2.909E-2,9.812E-3,-4.095E-3,-4.557E-2,0E0,1.422E0,9.354E2,1.863E6,7.887E9,4.549E13,-5.616E2,1.23E2,5.343E-1,-1.434E4,-6.323E1,-7.198E0,3.435E6,6.096E2,2.649E0,-7.821E1,augusta.wav
3.555E2,6.824E-2,7.854E-4,5.383E4,3.445E-4,8.489E-2,?,8.48E2,?,?,?,-9.685E-1,6.93E-1,-2.764E-1,-2.055E-1,2.152E-1,1.481E-1,8.709E-2,3.351E-2,-4.107E-2,0E0,1.062E0,1.045E3,2.299E6,9.464E9,5.429E13,-5.685E2,1.273E2,2.338E-1,-1.539E4,-2.83E1,-1.041E1,3.822E6,3.725E2,6.843E-1,-1.164E2,augusta.wav
4.098E2,7.129E-2,5.392E-4,5.796E4,3.635E-4,9.471E-2,?,8.8E2,?,?,?,-9.628E-1,7.049E-1,-3.751E-1,-2.402E-1,2.307E-1,1.095E-1,4.074E-2,5.872E-2,1.442E-2,0E0,1.284E0,1.217E3,2.237E6,7.885E9,4.53E13,-5.693E2,1.315E2,-1.612E-1,-1.647E4,2.105E1,-1.469E1,4.228E6,-4.101E1,5.027E-2,-1.752E2,augusta.wav
3.352E2,6.177E-2,7.603E-4,5.006E4,4.444E-4,1.025E-1,?,7.53E2,?,?,?,-9.863E-1,7.637E-1,1.703E-1,-6.926E-3,3.133E-2,8.661E-2,9.621E-2,9.524E-2,9.369E-3,0E0,1.22E0,9.469E2,2.076E6,8.827E9,5.082E13,-5.859E2,1.358E2,-5.002E-1,-1.757E4,6.626E1,-1.832E1,4.66E6,-4.469E2,1.647E0,-2.304E2,augusta.wav
