@relation jAudio
@ATTRIBUTE "Spectral Centroid0" NUMERIC
@ATTRIBUTE "Spectral Rolloff Point0" NUMERIC
@ATTRIBUTE "Spectral Flux0" NUMERIC
@ATTRIBUTE "Compactness0" NUMERIC
@ATTRIBUTE "Spectral Variability0" NUMERIC
@ATTRIBUTE "Root Mean Square0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows0" NUMERIC
@ATTRIBUTE "Zero Crossings0" NUMERIC
@ATTRIBUTE "Strongest Beat0" NUMERIC
@ATTRIBUTE "Beat Sum0" NUMERIC
@ATTRIBUTE "Strength Of Strongest Beat0" NUMERIC
@ATTRIBUTE "LPC0" NUMERIC
@ATTRIBUTE "LPC1" NUMERIC
@ATTRIBUTE "LPC2" NUMERIC
@ATTRIBUTE "LPC3" NUMERIC
@ATTRIBUTE "LPC4" NUMERIC
@ATTRIBUTE "LPC5" NUMERIC
@ATTRIBUTE "LPC6" NUMERIC
@ATTRIBUTE "LPC7" NUMERIC
@ATTRIBUTE "LPC8" NUMERIC
@ATTRIBUTE "LPC9" NUMERIC
@ATTRIBUTE "Method of Moments0" NUMERIC
@ATTRIBUTE "Method of Moments1" NUMERIC
@ATTRIBUTE "Method of Moments2" NUMERIC
@ATTRIBUTE "Method of Moments3" NUMERIC
@ATTRIBUTE "Method of Moments4" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs0" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs1" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs2" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs3" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs4" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs5" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs6" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs7" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs8" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs9" NUMERIC
@ATTRIBUTE "FileName" {augusta.wav,test.wav}
@DATA
8.972E2,1.559E-1,1.492E-2,3.672E4,1.349E-3,2.29E-1,?,1.644E3,?,?,?,-9.287E-1,8.633E-1,-3.575E-1,-7.873E-2,1.782E-1,-1.85E-1,-8.101E-2,1.382E-1,1.576E-1,0E0,4.261E0,1.439E3,1.79E6,5.954E9,3.307E13,-7.535E2,5.732E1,1.589E0,-2.928E3,-8.447E1,1.147E1,3.176E5,7.605E2,2.109E1,8.568E1,augusta.wav
7.86E2,2.374E-1,1.474E-2,4.559E4,7.031E-4,2.074E-1,?,1.763E3,?,?,?,-9.393E-1,7.302E-1,-4.863E-1,-1.72E-1,3.246E-1,-1.691E-1,4.984E-2,3.784E-1,1.967E-1,0E0,2.634E0,1.697E3,2.694E6,7.593E9,4.689E13,-7.42E2,6.195E1,1.508E0,-3.451E3,-8.719E1,1.008E1,4.063E5,7.711E2,1.877E1,7.503E1,augusta.wav
6.641E2,1.167E-1,3.003E-2,4.244E4,1.946E-3,3.644E-1,?,1.367E3,?,?,?,-9.528E-1,8.253E-1,-2.785E-1,1.745E-2,1.312E-1,-2.871E-2,1.612E-2,8.169E-2,1.625E-1,0E0,4.667E0,1.299E3,1.752E6,5.926E9,3.278E13,-7.394E2,6.683E1,1.447E0,-4.048E3,-9.084E1,8.614E0,5.16E5,7.839E2,1.697E1,6.289E1,augusta.wav
6.824E2,1.779E-1,3.504E-2,4.766E4,9.097E-4,2.347E-1,?,1.584E3,?,?,?,-9.433E-1,7.794E-1,-4.133E-1,-1.061E-1,3.278E-1,-2.67E-1,-7.16E-2,2.088E-1,1.931E-1,0E0,2.756E0,1.549E3,2.294E6,7.057E9,4.232E13,-7.213E2,7.189E1,1.304E0,-4.716E3,-8.831E1,6.545E0,6.487E5,7.794E2,1.414E1,4.71E1,augusta.wav
8.297E2,1.565E-1,2.334E-2,3.144E4,1.558E-3,3.017E-1,?,1.354E3,?,?,?,-9.314E-1,8.209E-1,-1.774E-1,9.829E-2,7.224E-2,1.465E-2,-2.993E-2,-1.876E-2,6.173E-2,0E0,4.531E0,1.51E3,2.222E6,7.038E9,3.806E13,-6.686E2,7.693E1,1.15E0,-5.432E3,-8.328E1,3.944E0,8.019E5,7.987E2,1.194E1,2.515E1,augusta.wav
6.253E2,1.342E-1,1.739E-2,4.692E4,6.759E-4,1.865E-1,?,1.297E3,?,?,?,-9.6E-1,8.804E-1,-3.18E-1,-1.499E-1,1.053E-1,-4.198E-2,-3.415E-2,8.636E-2,8.123E-2,0E0,2.648E0,1.153E3,1.579E6,5.67E9,3.219E13,-6.295E2,8.181E1,1.058E0,-6.175E3,-8.14E1,1.418E0,9.717E5,8.421E2,1.089E1,1.622E0,augusta.wav
5.153E2,1.426E-1,2.842E-3,4.733E4,4.219E-4,1.505E-1,?,1.158E3,?,?,?,-9.372E-1,8.837E-1,-3.869E-1,-2.809E-1,-4.106E-2,-7.495E-2,-9.528E-2,1.639E-1,1.5E-1,0E0,1.323E0,1.258E3,2.22E6,7.875E9,4.525E13,-6.288E2,8.674E1,8.228E-1,-6.974E3,-6.688E1,-1.897E0,1.166E6,7.79E2,7.39E0,-3.017E1,augusta.wav
3.605E2,6.848E-2,1.462E-3,4.823E4,4.792E-4,9.763E-2,?,8.33E2,?,?,?,-9.84E-1,7.909E-1,1.558E-1,-5.294E-2,-1.203E-2,2.909E-2,9.812E-3,-4.095E-3,-4.557E-2,0E0,1.422E0,9.354E2,1.863E6,7.887E9,4.549E13,-5.946E2,9.142E1,5.896E-1,-7.778E3,-4.983E1,-5.359E0,1.373E6,7.442E2,4.799E0,-6.681E1,augusta.wav
4.741E2,8.228E-2,8.661E-4,4.62E4,3.508E-4,8.768E-2,?,9.3E2,?,?,?,-9.626E-1,7.105E-1,-3.236E-1,-2.149E-1,2.262E-1,1.153E-1,5.424E-2,3.573E-2,-1.557E-2,0E0,1.353E0,1.279E3,2.299E6,7.921E9,4.587E13,-6.022E2,9.611E1,2.935E-1,-8.626E3,-2.512E1,-8.956E0,1.604E6,5.931E2,1.811E0,-1.095E2,augusta.wav
3.497E2,6.152E-2,9.306E-4,4.215E4,4.765E-4,9.495E-2,?,7.03E2,?,?,?,-9.835E-1,7.2E-1,-5.94E-2,-1.251E-1,1.234E-1,1.88E-1,1.363E-1,1.028E-1,2.679E-2,0E0,1.431E0,1.067E3,2.117E6,8.051E9,4.617E13,-5.753E2,1.005E2,-2.981E-2,-9.463E3,4.727E0,-1.294E1,1.843E6,3.479E2,-1.032E-1,-1.625E2,augusta.wav
